SCAPS 3.3.11 ELIS-UGent: Version scaps3311.exe, dated 07-10-2023, 11:15:54
Simulation of I-V curves
Single shot simulation #	1
Calculation started : 	18-11-2023 at 21:43:28

problem definition file :	c:\Program Files (x86)\Scaps3311\def\CdTeSe.def
last saved: 	18-11-2023 at 18:11:51

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Program Files (x86)\Scaps3311\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 14:59:48
Neutral density filter: ND	  0.0000
Transmission of ND filter:	  1.0000e+00
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	  100.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.770000	   -2.52369111e+01	        1.76112525e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.00338765e-01	    7.57737602e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.780000	   -2.52347050e+01	        1.78318563e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.01645760e-01	    7.66728022e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.790000	   -2.52321651e+01	        1.80858460e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.03224350e-01	    7.76341099e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.800000	   -2.52292203e+01	        1.83803284e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.05145877e-01	    7.86574063e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.810000	   -2.52257792e+01	        1.87244429e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.07502341e-01	    7.97420878e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.820000	   -2.52217232e+01	        1.91300448e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.10413207e-01	    8.08872416e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.830000	   -2.52168973e+01	        1.96126320e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.14034660e-01	    8.20916597e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.840000	   -2.52110975e+01	        2.01926078e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.18572227e-01	    8.33538509e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.850000	   -2.52040535e+01	        2.08970095e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.24298044e-01	    8.46720506e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.860000	   -2.51954048e+01	        2.17618799e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.31574567e-01	    8.60442322e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.870000	   -2.51846682e+01	        2.28355352e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.40887234e-01	    8.74681176e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.880000	   -2.51711928e+01	        2.41830759e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.52889568e-01	    8.89411909e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.890000	   -2.51540973e+01	        2.58926273e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.68465560e-01	    9.04607127e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.900000	   -2.51321838e+01	        2.80839813e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    1.88816075e-01	    9.20237373e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.910000	   -2.51038180e+01	        3.09205645e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    2.15578514e-01	    9.36271308e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
